"","doi","icpsr_doi","title"
"60","10.1257/aer.100.4.1399","10.3886/E112365V1","Are Health Insurance Markets Competitive?"
"61","10.1257/aer.100.4.1432","10.3886/E112366V1","Wage Risk and Employment Risk over the Life Cycle"
"62","10.1257/aer.100.4.1572","10.3886/E112367V1","Determinants of Redistributive Politics: An Empirical Analysis of Land Reforms in West Bengal, India"
"63","10.1257/aer.100.4.1673","10.3886/E112368V1","Consumption Taxes and Redistribution"
"64","10.1257/aer.100.4.1725","10.3886/E112369V1","Kinship, Incentives, and Evolution"
"65","10.1257/aer.100.4.1759","10.3886/E112370V1","Elections, Capital Flows, and Politico-economic Equilibria"
"66","10.1257/aer.100.4.1778","10.3886/E112371V1","Preemption Games: Theory and Experiment"
"67","10.1257/aer.100.4.1804","10.3886/E112372V1","Watta Satta: Bride Exchange and Women's Welfare in Rural Pakistan"
"68","10.1257/aer.100.4.1826","10.3886/E112373V1","Self-Interest through Delegation: An Additional Rationale for the Principal-Agent Relationship"
"69","10.1257/aer.100.4.1847","10.3886/E112374V1","The Gender Wage Gap and Domestic Violence"
"70","10.1257/aer.100.4.1860","10.3886/E112375V1","Constrained School Choice: An Experimental Study"
"71","10.1257/aer.100.4.1892","10.3886/E112376V1","Efficiency Gains from Team-Based Coordination—Large-Scale Experimental Evidence"
"72","10.1257/aer.100.4.1913","10.3886/E112377V1","Social Identity and Preferences"
"73","10.1257/aer.100.5.1941","10.3886/E112378V1","Sudden Stops, Financial Crises, and Leverage"
"74","10.1257/aer.100.5.1967","10.3886/E112379V1","The Political Economy of the US Mortgage Default Crisis"
"75","10.1257/aer.100.5.1999","10.3886/E112380V1","Margins of Multinational Labor Substitution"
"76","10.1257/aer.100.5.2060","10.3886/E112381V1","Inherited Trust and Growth"
"77","10.1257/aer.100.5.2093","10.3886/E112382V1","International Trade and Income Differences"
"78","10.1257/aer.100.5.2125","10.3886/E112383V1","Early Admissions at Selective Colleges"
"79","10.1257/aer.100.5.2157","10.3886/E112384V1","The Changing Incidence of Geography"
"80","10.1257/aer.100.5.2187","10.3886/E112385V1","Is Reputation Good or Bad? An Experiment"
"81","10.1257/aer.100.5.2205","10.3886/E112386V1","Institutions and Behavior: Experimental Evidence on the Effects of Democracy"
"82","10.1257/aer.100.5.2261","10.3886/E112387V1","Social Preferences and Strategic Uncertainty: An Experiment on Markets and Contracts"
"83","10.1257/aer.100.5.2340","10.3886/E112388V1","Do We Follow Others When We Should? A Simple Test of Rational Expectations"
"84","10.1257/aer.100.5.2383","10.3886/E112389V1","Can Higher Prices Stimulate Product Use? Evidence from a Field Experiment in Zambia"
"85","10.1257/aer.100.5.2414","10.3886/E112390V1","Inheritance Law and Investment in Family Firms"
"86","10.1257/aer.100.5.2478","10.3886/E112391V1","Organizational Structure, Communication, and Group Ethics"
"87","10.1257/aer.100.5.2492","10.3886/E112392V1","Doing Well by Doing Good? Green Office Buildings"
"88","10.1257/aer.100.5.2510","10.3886/E112393V1","Real Business Cycles in Emerging Countries?"
"89","10.1257/aer.101.1.109","10.3886/E112394V1","Two Illustrations of the Quantity Theory of Money: Breakdowns and Revivals"
"90","10.1257/aer.101.1.196","10.3886/E112395V1","Growing Like China"
"91","10.1257/aer.101.1.234","10.3886/E112396V1","Reference Prices, Costs, and Nominal Rigidities"
"92","10.1257/aer.101.1.263","10.3886/E112397V1","Bundle-Size Pricing as an Approximation to Mixed Bundling"
"93","10.1257/aer.101.1.304","10.3886/E112398V1","Trade Liberalization, Exports, and Technology Upgrading: Evidence on the Impact of MERCOSUR on Argentinian Firms"
"94","10.1257/aer.101.1.341","10.3886/E112399V1","Monetary Policy, Trend Inflation, and the Great Moderation: An Alternative Interpretation"
"95","10.1257/aer.101.1.371","10.3886/E112400V1","Inflation and Unemployment in the Long Run"
"96","10.1257/aer.101.1.411","10.3886/E112401V1","The Evolution of Cooperation in Infinitely Repeated Games: Experimental Evidence"
"97","10.1257/aer.101.2.1012","10.3886/E112402V1","The Willingness to Pay—Willingness to Accept Gap, the ""Endowment Effect,"" Subject Misconceptions, and Experimental Procedures for Eliciting Valuations: Reply"
"98","10.1257/aer.101.2.1029","10.3886/E112403V1","Stationary Concepts for Experimental 2 X 2 Games: Comment"
"99","10.1257/aer.101.2.431","10.3886/E112404V1","The Long Slump"
"100","10.1257/aer.101.2.470","10.3886/E112405V1","Reference Points and Effort Provision"
"101","10.1257/aer.101.2.493","10.3886/E112406V1","Contracts as Reference Points—Experimental Evidence"
"102","10.1257/aer.101.2.526","10.3886/E112407V1","The Economics of Credence Goods: An Experiment on the Role of Liability, Verifiability, Reputation, and Competition"
"103","10.1257/aer.101.2.556","10.3886/E112408V1","Performance Pay and Multidimensional Sorting: Productivity, Preferences, and Gender"
"104","10.1257/aer.101.2.591","10.3886/E112409V1","Are Risk Preferences Stable across Contexts? Evidence from Insurance Data"
"105","10.1257/aer.101.2.695","10.3886/E112410V1","The Rich Domain of Uncertainty: Source Functions and Their Experimental Implementation"
"106","10.1257/aer.101.2.749","10.3886/E112411V1","The Bidder's Curse"
"107","10.1257/aer.101.2.819","10.3886/E112412V1","Deferred Compensation in Multiperiod Labor Contracts: An Experimental Test of Lazear's Model"
"108","10.1257/aer.101.2.844","10.3886/E112413V1","Sales and Monetary Policy"
"109","10.1257/aer.101.2.877","10.3886/E112414V1","The Cyclical Behavior of Debt and Equity Finance"
"110","10.1257/aer.101.2.900","10.3886/E112415V1","Search Dynamics in Consumer Choice under Time Pressure: An Eye-Tracking Study"
"111","10.1257/aer.101.2.927","10.3886/E112416V1","Coordination in the Presence of Asset Markets"
"112","10.1257/aer.101.2.948","10.3886/E112417V1","Real-Time Search in the Laboratory and the Market"
"113","10.1257/aer.101.2.975","10.3886/E112418V1","Checkmate: Exploring Backward Induction among Chess Players"
"114","10.1257/aer.101.2.991","10.3886/E112419V1","The Willingness to Pay—Willingness to Accept Gap, the ""Endowment Effect,"" Subject Misconceptions, and Experimental Procedures for Eliciting Valuations: Comment"
"115","10.1257/aer.101.3.298","10.3886/E112420V1","Trade Finance and the Great Trade Collapse"
"116","10.1257/aer.101.3.303","10.3886/E112421V1","US Trade and Inventory Dynamics"
"117","10.1257/aer.101.3.532","10.3886/E112422V1","Oaxaca-Blinder as a Reweighting Estimator"
"118","10.1257/aer.101.3.582","10.3886/E112423V1","Remittances and Income Smoothing"
"119","10.1257/aer.101.3.65","10.3886/E112424V1","Promoting Recycling: Private Values, Social Norms, and Economic Incentives"
"120","10.1257/aer.101.3.88","10.3886/E112425V1","Electricity Consumption and Durable Housing: Understanding Cohort Effects"
"121","10.1257/aer.101.4.1106","10.3886/E112426V1","The Role of Trading Frictions in Real Asset Markets"
"122","10.1257/aer.101.4.1144","10.3886/E112427V1","Read All about It!! What Happens Following a Technology Shock?"
"123","10.1257/aer.101.4.1180","10.3886/E112428V1","Choice Inconsistencies among the Elderly: Evidence from Plan Choice in the Medicare Part D Program"
"124","10.1257/aer.101.4.1211","10.3886/E112429V1","Participation"
"125","10.1257/aer.101.4.1238","10.3886/E112430V1","What Do Trade Negotiators Negotiate About? Empirical Evidence from the World Trade Organization"
"126","10.1257/aer.101.4.1274","10.3886/E112431V1","Electoral Accountability and Corruption: Evidence from the Audits of Local Governments"
"127","10.1257/aer.101.4.1312","10.3886/E112432V1","R&D Investment, Exporting, and Productivity Dynamics"
"128","10.1257/aer.101.4.1375","10.3886/E112433V1","Using Loopholes to Reveal the Marginal Cost of Regulation: The Case of Fuel-Economy Standards"
"129","10.1257/aer.101.4.1410","10.3886/E112434V1","Strike Three: Discrimination, Incentives, and Evaluation"
"130","10.1257/aer.101.4.1436","10.3886/E112435V1","The Inflation-Output Trade-Off with Downward Wage Rigidities"
"131","10.1257/aer.101.4.1467","10.3886/E112436V1","Education and Labor Market Discrimination"
"132","10.1257/aer.101.4.1497","10.3886/E112437V1","Face Value"
"133","10.1257/aer.101.4.1514","10.3886/E112438V1","Term Premia and Inflation Uncertainty: Empirical Evidence from an International Panel Dataset"
"134","10.1257/aer.101.4.1535","10.3886/E112439V1","Asymmetric Information, Adverse Selection and Online Disclosure: The Case of eBay Motors"
"135","10.1257/aer.101.4.1601","10.3886/E112440V1","Group Size and Incentives to Contribute: A Natural Experiment at Chinese Wikipedia"
"136","10.1257/aer.101.4.1616","10.3886/E112441V1","Fertility and the Personal Exemption: Comment"
"137","10.1257/aer.101.4.1629","10.3886/E112442V1","Returns to Education: Evidence from UK Twins: Comment"
"138","10.1257/aer.101.5.1649","10.3886/E112443V1","Environmental Accounting for Pollution in the United States Economy"
"139","10.1257/aer.101.5.1676","10.3886/E112444V1","From Financial Crash to Debt Crisis"
"140","10.1257/aer.101.5.1707","10.3886/E112445V1","An Experimental Component Index for the CPI: From Annual Computer Data to Monthly Data on Other Goods"
"141","10.1257/aer.101.5.1739","10.3886/E112446V1","Peer Effects, Teacher Incentives, and the Impact of Tracking: Evidence from a Randomized Evaluation in Kenya"
"142","10.1257/aer.101.5.1775","10.3886/E112447V1","The Impact of Regulations on the Supply and Quality of Care in Child Care Markets"
"143","10.1257/aer.101.5.1842","10.3886/E112448V1","Unhealthy Insurance Markets: Search Frictions and the Cost and Quality of Health Insurance"
"144","10.1257/aer.101.5.1872","10.3886/E112449V1","Segregation and the Quality of Government in a Cross Section of Countries"
"145","10.1257/aer.101.5.1912","10.3886/E112450V1","New York City Cab Drivers' Labor Supply Revisited: Reference-Dependent Preferences with Rational-Expectations Targets for Hours and Income"
"146","10.1257/aer.101.5.1933","10.3886/E112451V1","Climbing atop the Shoulders of Giants: The Impact of Institutions on Cumulative Research"
"147","10.1257/aer.101.5.1964","10.3886/E112452V1","Finance and Development: A Tale of Two Sectors"
"148","10.1257/aer.101.5.2003","10.3886/E112453V1","Dynamics and Stagnation in the Malthusian Epoch"
"149","10.1257/aer.101.5.2081","10.3886/E112454V1","State Misallocation and Housing Prices: Theory and Evidence from China"
"150","10.1257/aer.101.5.2157","10.3886/E112455V1","Panic on the Streets of London: Police, Crime, and the July 2005 Terror Attacks"
"151","10.1257/aer.101.5.2205","10.3886/E112456V1","The Area and Population of Cities: New Insights from a Different Perspective on Cities"
"152","10.1257/aer.101.6.2309","10.3886/E112457V1","Trends in Quality-Adjusted Skill Premia in the United States, 1960-2000"
"153","10.1257/aer.101.6.2350","10.3886/E112458V1","Nudging Farmers to Use Fertilizer: Theory and Experimental Evidence from Kenya"
"154","10.1257/aer.101.6.2391","10.3886/E112459V1","Aggregation and the PPP Puzzle in a Sticky-Price Model"
"155","10.1257/aer.101.6.2450","10.3886/E112460V1","International Prices, Costs, and Markup Differences"
"156","10.1257/aer.101.6.2530","10.3886/E112461V1","Risk Matters: The Real Effects of Volatility Shocks"
"157","10.1257/aer.101.6.2562","10.3886/E112462V1","The Potential of Social Identity for Equilibrium Selection"
"158","10.1257/aer.101.6.2616","10.3886/E112463V1","The Fundamental Law of Road Congestion: Evidence from US Cities"
"159","10.1257/aer.101.6.2653","10.3886/E112464V1","Bid Preference Programs and Participation in Highway Procurement Auctions"
"160","10.1257/aer.101.6.2687","10.3886/E112465V1","Clearing the Air? The Effects of Gasoline Content Regulation on Air Quality"
"161","10.1257/aer.101.6.2723","10.3886/E112466V1","The Chinese Warrants Bubble"
"162","10.1257/aer.101.6.2754","10.3886/E112467V1","Estimating Marginal Returns to Education"
"163","10.1257/aer.101.6.2782","10.3886/E112468V1","How Demanding Is the Revealed Preference Approach to Demand?"
"164","10.1257/aer.101.6.2823","10.3886/E112469V1","Aggregate and Idiosyncratic Risk in a Frictional Labor Market"
"165","10.1257/aer.101.6.2844","10.3886/E112470V1","Expectations, Learning, and Business Cycle Fluctuations"
"166","10.1257/aer.101.7.2923","10.3886/E112471V1","Sources of Lifetime Inequality"
"167","10.1257/aer.101.7.2980","10.3886/E112472V1","The Effect of Newspaper Entry and Exit on Electoral Politics"
"168","10.1257/aer.101.7.3019","10.3886/E112473V1","School Desegregation, School Choice, and Changes in Residential Location Patterns by Race"
"169","10.1257/aer.101.7.3078","10.3886/E112474V1","The Effects of Rural Electrification on Employment: New Evidence from South Africa"
"170","10.1257/aer.101.7.3109","10.3886/E112475V1","Happiness and Time Preference: The Effect of Positive Affect in a Random-Assignment Experiment"
"171","10.1257/aer.101.7.3130","10.3886/E112476V1","Who Thinks about the Competition? Managerial Ability and Strategic Entry in US Local Telephone Markets"
"172","10.1257/aer.101.7.3162","10.3886/E112477V1","Buffalo Hunt: International Trade and the Virtual Extinction of the North American Bison"
"173","10.1257/aer.101.7.3196","10.3886/E112478V1","Extreme Walrasian Dynamics: The Gale Example in the Lab"
"174","10.1257/aer.101.7.3221","10.3886/E112479V1","The Slave Trade and the Origins of Mistrust in Africa"
"175","10.1257/aer.101.7.3253","10.3886/E112480V1","Media and Political Persuasion: Evidence from Russia"
"176","10.1257/aer.101.7.3286","10.3886/E112481V1","The Consequences of Radical Reform: The French Revolution"
"177","10.1257/aer.101.7.3330","10.3886/E112482V1","Relative Earnings and Giving in a Real-Effort Experiment"
"178","10.1257/aer.101.7.3368","10.3886/E112483V1","Automobiles on Steroids: Product Attribute Trade-Offs and Technological Progress in the Automobile Sector"
"179","10.1257/aer.101.7.3400","10.3886/E112484V1","Overborrowing and Systemic Externalities in the Business Cycle"
"180","10.1257/aer.101.7.3427","10.3886/E112485V1","Stakes Matter in Ultimatum Games"
"181","10.1257/aer.101.7.3440","10.3886/E112486V1","US International Equity Investment and Past and Prospective Returns"
"182","10.1257/aer.101.7.3456","10.3886/E112487V1","The Cross Section of Foreign Currency Risk Premia and Consumption Growth Risk: Comment"
"183","10.1257/aer.101.7.3477","10.3886/E112488V1","The Cross-Section of Foreign Currency Risk Premia and Consumption Growth Risk: Reply"
"184","10.1257/aer.102.1.131","10.3886/E112489V1","The Environment and Directed Technical Change"
"185","10.1257/aer.102.1.167","10.3886/E112490V1","Americans Do IT Better: US Multinationals and the Productivity Miracle"
"186","10.1257/aer.102.1.202","10.3886/E112491V1","The Value of Information in the Court: Get It Right, Keep It Tight"
"187","10.1257/aer.102.1.238","10.3886/E112492V1","Macroeconomic Effects of Financial Shocks"
"188","10.1257/aer.102.1.272","10.3886/E112493V1","The Effects of Housing Assistance on Labor Supply: Evidence from a Voucher Lottery"
"189","10.1257/aer.102.1.305","10.3886/E112494V1","Standard Setting Committees: Consensus Governance for Shared Technology Platforms"
"190","10.1257/aer.102.1.337","10.3886/E112495V1","A Continuous Dilemma"
"191","10.1257/aer.102.1.364","10.3886/E112496V1","Understanding International Prices: Customers as Capital"
"192","10.1257/aer.102.1.396","10.3886/E112497V1","Compulsory Licensing: Evidence from the Trading with the Enemy Act"
"193","10.1257/aer.102.1.428","10.3886/E112498V1","Testing Efficient Risk Sharing with Heterogeneous Risk Preferences"
"194","10.1257/aer.102.1.469","10.3886/E112499V1","A Structural Analysis of Disappointment Aversion in a Real Effort Competition"
"195","10.1257/aer.102.1.504","10.3886/E112500V1","Why Don't We See Poverty Convergence?"
"196","10.1257/aer.102.1.524","10.3886/E112501V1","Was the New Deal Contractionary?"
"197","10.1257/aer.102.1.556","10.3886/E112502V1","The Internet and Local Wages: A Puzzle"
"198","10.1257/aer.102.1.608","10.3886/E112503V1","Efficient Pollution Regulation: Getting the Prices Right: Reply"
"199","10.1257/aer.102.1.613","10.3886/E112504V1","Efficient Pollution Regulation: Getting the Prices Right: Corrigendum (Mortality Rate Update)"
"200","10.1257/aer.102.2.1029","10.3886/E112505V1","Credit Booms Gone Bust: Monetary Policy, Leverage Cycles, and Financial Crises, 1870-2008"
"201","10.1257/aer.102.2.1062","10.3886/E112506V1","What Drives US Foreign Borrowing? Evidence on the External Adjustment to Transitory and Permanent Shocks"
"202","10.1257/aer.102.2.1093","10.3886/E112507V1","International Income Inequality: Measuring PPP Bias by Estimating Engel Curves for Food"
"203","10.1257/aer.102.2.1118","10.3886/E112508V1","Behavioral Foundations of Microcredit: Experimental and Survey Evidence from Rural India"
"204","10.1257/aer.102.2.1161","10.3886/E112509V1","Paying a Premium on Your Premium? Consolidation in the US Health Insurance Industry"
"205","10.1257/aer.102.2.643","10.3886/E112510V1","The Welfare Effects of Bundling in Multichannel Television Markets"
"206","10.1257/aer.102.2.686","10.3886/E112511V1","The Use of Full-Line Forcing Contracts in the Video Rental Industry"
"207","10.1257/aer.102.2.720","10.3886/E112512V1","Slow to Anger and Fast to Forgive: Cooperation in an Uncertain World"
"208","10.1257/aer.102.2.810","10.3886/E112513V1","Estimating the Peace Dividend: The Impact of Violence on House Prices in Northern Ireland"
"209","10.1257/aer.102.2.834","10.3886/E112514V1","Screening, Competition, and Job Design: Economic Origins of Good Jobs"
"210","10.1257/aer.102.2.884","10.3886/E112515V1","Information and Industry Dynamics"
"211","10.1257/aer.102.2.941","10.3886/E112516V1","Violent Conflict and Behavior: A Field Experiment in Burundi"
"212","10.1257/aer.102.2.965","10.3886/E112517V1","What Do Emissions Markets Deliver and to Whom? Evidence from Southern California's NOx Trading Program"
"213",NA,"10.3886/E112518V1",NA
"214","10.1257/aer.102.3.498","10.3886/E112519V1","Health Reform, Health Insurance, and Selection: Estimating Selection into Health Insurance Using the Massachusetts Health Reform"
"215","10.1257/aer.102.3.549","10.3886/E112520V1","The Employment of Low-Skilled Immigrant Men in the United States"
"216","10.1257/aer.102.3.606","10.3886/E112521V1","The Role of Preferences and Opportunity Costs in Determining the Time Allocated to Housework"
"217","10.1257/aer.102.4.1206","10.3886/E112522V1","Targeting the Poor: Evidence from a Field Experiment in Indonesia"
"218","10.1257/aer.102.4.1241","10.3886/E112523V1","Incentives Work: Getting Teachers to Come to School"
"219","10.1257/aer.102.4.1310","10.3886/E112524V1","Ethnicity and Conflict: An Empirical Study"
"220","10.1257/aer.102.4.1343","10.3886/E112525V1","Information, Animal Spirits, and the Meaning of Innovations in Consumer Confidence"
"221","10.1257/aer.102.4.1378","10.3886/E112526V1","Why Does Trend Growth Affect Equilibrium Employment? A New Explanation of an Old Puzzle"
"222","10.1257/aer.102.4.1414","10.3886/E112527V1","Understanding Bank Runs: The Importance of Depositor-Bank Relationships and Networks"
"223","10.1257/aer.102.4.1477","10.3886/E112528V1","The Enduring Impact of the American Dust Bowl: Short- and Long-Run Adjustments to Environmental Catastrophe"
"224","10.1257/aer.102.4.1508","10.3886/E112529V1","The Origins of Ethnolinguistic Diversity"
"225","10.1257/aer.102.4.1540","10.3886/E112530V1","Competitive Pressure and the Adoption of Complementary Innovations"
"226","10.1257/aer.102.4.1571","10.3886/E112531V1","Evaluating Microfoundations for Aggregate Price Rigidities: Evidence from Matched Firm-Level Data on Product Prices and Unit Labor Cost"
"227","10.1257/aer.102.4.1596","10.3886/E112532V1","On the Timing and Pricing of Dividends"
"228","10.1257/aer.102.4.1619","10.3886/E112533V1","The Finnish Great Depression: From Russia with Love"
"229","10.1257/aer.102.4.1644","10.3886/E112534V1","The Currency of Reciprocity: Gift Exchange in the Workplace"
"230","10.1257/aer.102.4.1663","10.3886/E112535V1","Risk Aversion and the Labor Margin in Dynamic Equilibrium Models"
"231","10.1257/aer.102.4.1692","10.3886/E112536V1","Credit Spreads and Business Cycle Fluctuations"
"232","10.1257/aer.102.4.1721","10.3886/E112537V1","Do Matching Frictions Explain Unemployment? Not in Bad Times"
"233","10.1257/aer.102.4.1751","10.3886/E112538V1","Taxes, Cigarette Consumption, and Smoking Intensity: Comment"
"234","10.1257/aer.102.5.1773","10.3886/E112539V1","A Field Study on Matching with Network Externalities"
"235","10.1257/aer.102.5.1832","10.3886/E112540V1","Europe's Tired, Poor, Huddled Masses: Self-Selection and Economic Outcomes in the Age of Mass Migration"
"236","10.1257/aer.102.5.1898","10.3886/E112541V1","A Rational Expectations Approach to Hedonic Price Regressions with Time-Varying Unobserved Product Attributes: The Price of Pollution"
"237","10.1257/aer.102.5.1927","10.3886/E112542V1","The Impact of Family Income on Child Achievement: Evidence from the Earned Income Tax Credit"
"238","10.1257/aer.102.5.2018","10.3886/E112543V1","Organ Allocation Policy and the Decision to Donate"
"239","10.1257/aer.102.5.2048","10.3886/E112544V1","Katrina's Children: Evidence on the Structure of Peer Effects from Hurricane Evacuees"
"240","10.1257/aer.102.5.2111","10.3886/E112545V1","Industrial Structure and Capital Flows"
"241","10.1257/aer.102.5.2206","10.3886/E112546V1","Heuristic Thinking and Limited Attention in the Car Market"
"242","10.1257/aer.102.5.2237","10.3886/E112547V1","The Multi-unit Assignment Problem: Theory and Evidence from Course Allocation at Harvard"
"243","10.1257/aer.102.5.2301","10.3886/E112548V1","Credit Supply and Monetary Policy: Identifying the Bank Balance-Sheet Channel with Loan Applications"
"244","10.1257/aer.102.5.2327","10.3886/E112549V1","Skill Dispersion and Trade Flows"
"245","10.1257/aer.102.5.2358","10.3886/E112550V1","The Hidden Advantage of Delegation: Pareto Improvements in a Gift Exchange Game"
"246","10.1257/aer.102.6.2381","10.3886/E112551V1","The Collateral Channel: How Real Estate Shocks Affect Corporate Investment"
